OE0012;StÈí;Xèís.;Èíslo èipu;Id databáze;Pøíjmení;Jméno (køest.);RN;S;Blok;ms;Start;Cíl;Èas;Klasifikace;Kredit -;Penalizace +;Komentáø;È. oddílu;Název oddílu;Mìsto;Stát;Místo;Zkratka;Kat. è.;Krátkı;Dlouhı;Kat. è.;Kat. (krátká);Kat. (dlouhá);Ranking;Rankingové body;Num1;Num2;Num3;Text1;Text2;Text3;Pøíjmení;Jméno;Ulice;2.øádek;PSÈ;Mìsto;Tel;Mobil;Fax;E-mail;Pùjèeno;Vklady;Placeno;Drustvo;Èíslo tratì;Tra;km;m;Kontroly tratì;Místo;
;;;;;Tøetí;Linda;;F;;0;27:00;40:00;13:00;0;;;;90001;Jih;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;3;
;;;;;Ètvrtá;Markéta;;F;;0;26:00;40:07;14:07;0;;;;90003;Gymnázium;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;4;
;;;;;Pátá;Andrea;;F;;0;34:00;49:36;15:36;0;;;;90001;Jih;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;5;
;;;;;Šestá;Marie;;F;;0;33:00;49:35;16:35;0;;;;90002;Úšovice;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;6;
;;;;;Sedmá;Marie;;F;;0;25:00;42:04;17:04;0;;;;90002;Úšovice;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;7;
;;;;;Osmá;Eliška;;F;;0;23:00;42:05;19:05;0;;;;90002;Úšovice;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;8;
;;;;;Devátá;Veronika;;F;;0;31:00;52:43;21:43;0;;;;90004;Ètyølístek;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;9;
;;;;;Desátá;Karolína;;F;;0;30:00;55:23;25:23;0;;;;90002;Úšovice;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;10;
;;;;;Jedenáctá;Tereza;;F;;0;28:00;55:19;27:19;0;;;;90002;Úšovice;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;11;
;;;;;Dvanáctá;Zora;;F;;0;29:00;52:19;23:19;3;;;;90003;Gymnázium;;;;;7;D9;D9;7;D9;D9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;;
;;;;;První;Štìpán;;M;;0;19:00;29:50;10:50;0;;;;90002;Úšovice;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;1;
;;;;;Druhı;Bøetislav;;M;;0;15:00;26:01;11:01;0;;;;90002;Úšovice;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;2;
;;;;;Tøetí;František;;M;;0;1:00;13:07;12:07;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;3;
;;;;;Ètvrtı;Václav;;M;;0;13:00;25:10;12:10;0;;;;90003;Gymnázium;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;4;
;;;;;Pátı;Adam;;M;;0;5:00;17:24;12:24;0;;;;90003;Gymnázium;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;5;
;;;;;Šestı;Ondøej;;M;;0;7:00;19:44;12:44;0;;;;90003;Gymnázium;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;6;
;;;;;Sedmı;Alex;;M;;0;4:00;17:19;13:19;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;7;
;;;;;Osmı;Patrik;;M;;0;18:00;31:32;13:32;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;8;
;;;;;Devátı;Ondøej;;M;;0;16:00;29:38;13:38;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;9;
;;;;;Desátı;Ladislav;;M;;0;0:00;13:39;13:39;0;;;;90003;Gymnázium;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;10;
;;;;;Jedenáctı;Pavel;;M;;0;6:00;19:42;13:42;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;11;
;;;;;Dvanáctı;Jindøich;;M;;0;2:00;15:59;13:59;0;;;;90002;Úšovice;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;12;
;;;;;Tøináctı;Adam;;M;;0;17:00;31:40;14:40;0;;;;90003;Gymnázium;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;13;
;;;;;Ètrnáctı;Denis;;M;;0;10:00;26:12;16:12;0;;;;90003;Gymnázium;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;14;
;;;;;Patnáctı;Petr;;M;;0;8:00;26:22;18:22;0;;;;90002;Úšovice;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;15;
;;;;;Šestnáctı;Felix;;M;;0;14:00;32:31;18:31;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;16;
;;;;;Sedmnáctı;Marek;;M;;0;11:00;31:07;20:07;0;;;;90002;Úšovice;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;17;
;;;;;Osmnáctı;Jan;;M;;0;3:00;30:22;27:22;0;;;;90003;Gymnázium;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;18;
;;;;;Devatenáctı;Lukáš;;M;;0;21:00;64:39;43:39;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;19;
;;;;;Dvacátı;Jan;;M;;0;20:00;64:38;44:38;0;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;20;
;;;;;Jednadvacátı;Adam;;M;;0;12:00;38:01;26:01;3;;;;90001;Jih;;;;;8;H9;H9;8;H9;H9;;;;;;;;;;;;;;;;;;;0;0,00;0;;3;D7,H7,D9,H9,DS,HS;1,6;0;13;;
